Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
SDT8I53,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDT8I60,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDT8I68,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA,FIAT STRADA
SDT8I72,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA,FIAT STRADA
SDT8J05,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA,FIAT STRADA
SDT8J21,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDT8J51,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA,FIAT STRADA
SDT8J63,Médio,STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA,FIAT STRADA
SDT8J81,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDU9E85,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9E86,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9E87,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9E88,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9E89,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9E92,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9E95,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9F01,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9F03,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9F45,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9F46,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9F49,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9F51,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
