Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
SEY5E62,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEY5E63,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEY8A97,Caminhão7.5Ton,14-210 CONSTELLATION 4X2 2P (DIESEL)(E6),VW 14 210,CAMINHÃO TOCO
SEZ3A74,Pesado,MASTER 2.3 DCI CHASSI 16V DIESEL,RENAULT MASTER CHASSI,RENAULT MASTER
SEZ3A79,Pesado,MASTER 2.3 DCI CHASSI 16V DIESEL,RENAULT MASTER CHASSI,RENAULT MASTER
SEZ7E35,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
SFA0J37,Pesado,MASTER 2.3 DCI CHASSI 16V DIESEL,RENAULT MASTER CHASSI,RENAULT MASTER
SFA0J40,Pesado,MASTER 2.3 DCI CHASSI 16V DIESEL,RENAULT MASTER CHASSI,RENAULT MASTER
SFA6I75,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SFA6I76,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SFA6I77,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SFA8J31,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
SFC4I51,Leve,POLO 1.0 MPI FLEX 12V 5P,VW POLO,VW POLO
SFD2H30,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SFD2H31,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SFD2H32,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SFD2H34,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SFD2H37,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SFD2H38,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SFD3E84,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SFD5C28,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFD5C29,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFD5C30,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFD5C31,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFD5C32,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,MB SPRINTER
SFD5C33,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,MB SPRINTER
SFD5C34,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,MB SPRINTER
SFD5C35,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,MB SPRINTER
SFD5C36,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,MB SPRINTER
SFD5C37,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFD9G67,Caminhão4.2Ton,ACCELO 817 4X2 2P (DIESEL)(E6),MB ACCELO 817,CAMINHÃO 3/4
SFE8H54,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO
SFE8H55,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO
SFF3C30,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK
SFF3C31,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF3C33,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H63,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H64,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H65,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H66,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H67,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H68,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H69,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFF9H70,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFH3I29,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SFH5C96,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
SFI4A19,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI4A20,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI4A34,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI4A35,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI4A36,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI4A38,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI5F67,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI6G49,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS
SFI6G52,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS
SFI6G54,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS
SFI6G56,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS
SFI6J88,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFI6J89,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFJ4D58,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
SFJ4D59,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,MB SPRINTER
SFJ5H71,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK
SFJ5H72,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK
SFK1E38,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SFK1E48,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SFK1E50,Caminhão9Ton,ATEGO 1419 4X2 2P (DIESEL)(E6),MB ATEGO 1419,"MB ATEGO 1419"""
SFL1E46,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
SFL2F07,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SFL3H42,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SFL9J84,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM2I59,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4
SFM3H28,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4
SFM3H30,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4
SFM3H31,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4
SFM3H34,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4
SFM3H40,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H41,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H42,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H44,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H45,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H46,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H48,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H49,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H52,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFM3H54,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFN2E86,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,MB SPRINTER
SFN8F94,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK
TAJ3D96,Caminhão10.5Ton,17-210 CONSTELLATION 4X2 2P (DIESEL)(E6),VW 17 210,CAMINHÃO TOCO
TAJ6B89,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
TAP2C35,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAP2C36,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAP2C38,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAP2C39,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAP2C40,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAP3G60,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,MB SPRINTER
TAS4G97,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4G98,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4G99,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H01,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H02,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H03,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H04,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H06,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H09,Pesado,SPRINTER 517 F. EXT. L. T.A. DIE. (E6),MB SPRINTER,MB SPRINTER
TAS4H11,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H12,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAS4H20,Pesado,SPRINTER 517 F. EXT. L. T.A. DIE. (E6),MB SPRINTER,MB SPRINTER
TAV9E95,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO
TAV9E96,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO
TAW2B27,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,CAMINHÃO 3/4
TAW3H21,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAW3H22,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,MB SPRINTER
TAW7H30,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,CAMINHÃO 3/4
TAW7H31,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO
TAX5J72,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO
TAZ4A46,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
TAZ4A48,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
TAZ4A49,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
TAZ7D64,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
TAZ7D65,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
TBA7D21,Pesado,SPRINTER 517 F. EXT. L. T.A. DIE. (E6),MB SPRINTER,MB SPRINTER
TBG7A10,Caminhão12Ton,ATEGO 2429 6X2 2P (DIESEL)(E6),MB ATEGO 2430,CAMINHÃO TOCO
TBG7A13,Caminhão12Ton,ATEGO 2429 6X2 2P (DIESEL)(E6),MB ATEGO 2430,CAMINHÃO TOCO
TBK1J24,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER,MB SPRINTER
BDE5I40,Pesado,SPRINTER 515 FURGÃO E.L.T. ALTO 2.2 DIE.,MB SPRINTER,MB SPRINTER
BDZ5E70,Moto,CG 160 START,CG 160 START,CG 160 START
BEY4C18,Caminhão9Ton,13-180 DELIVERY 6X2 2P (DIESEL)(E5),VW 13 180 DRC,CAMINHÃO TOCO
RHS8D28,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
RHS8D36,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
SDU9E81,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9F92,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDU9G03,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEI5B88,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEP6E15,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SEH4I03,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
SEU3H09,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80,CAMINHÃO 3/4
SEC7A68,Leve,ARGO 1.0 6V FLEX.,FIAT ARGO,FIAT ARGO
TBK1J34,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER,MB SPRINTER
TBK1J46,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER,MB SPRINTER
TBE5I67,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
TBE5I64,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
TBE5I62,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
TBE5I65,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
TBE5I66,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
TBE5I63,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V,VW SAVEIRO,VW SAVEIRO
SDT4B08,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SFD5C40,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
TAI4I92,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SEE9I35,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDX2A65,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT,PEUGEOT PARTNER
SFA8I75,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
SEC5E64,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SEP8G12,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
TBQ1G07,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
TBS6E45,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK
TBJ8E28,Médio,FIORINO ENDURANCE 1.3 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
TBQ1G09,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SDW2F08,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SEP8F99,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
TBQ1G10,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
TBQ1G12,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
TAX6J56,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
TBQ1G08,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SER6J18,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS
BEB5D93,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
SDT8J77,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDW2G50,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
TAN3H91,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SFE4B63,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SES1H28,Leve,CRONOS DRIVE 1.0 6V FLEX,VW GOL 1 0,VW GOL
TBW9G12,Caminhão12Ton,26-260 CONSTELLATION 6X2 2P (DIESEL)(E6),VOLVO VM 290,CAMINHÃO TRUCK
SDT4A76,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDT4B61,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SDT4B56,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SFI6G50,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS
SFA8J05,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
RHF1B93,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
TBZ6H92,Pesado,SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,MB SPRINTER,MB SPRINTER
SFN4F71,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
SFK0F56,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SFN1H57,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SFN1H25,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
UAV5J69,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
UAV5J71,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
UAV5J73,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
UAV5J75,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SFL2F19,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SEG5A93,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO
UBA9H32,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
UBA9H34,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
UBC1A56,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER,MB SPRINTER
SFD5C38,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
SFJ4D49,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA
UBF1G83,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
UBF1G84,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
UBF1G86,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
SEP3C30,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
